site,super_category,fold,marginal_R2,conditional_R2
TF,people,4,0.9176111780934977,0.9651988563823838
TF,people,5,0.9176082062097469,0.9646992784489787
TF,small_vehicles,1,0.8601904151747938,0.9311481095800531
TF,small_vehicles,2,0.8622991651394909,0.9312120008087238
TF,small_vehicles,3,0.861452227566461,0.9312216819733056
TF,small_vehicles,4,0.8608823000939904,0.931440014944777
TF,small_vehicles,5,0.8625427050534753,0.9313134935389
TF,large_vehicles,1,0.6924878760933235,0.7162209625021465
TF,large_vehicles,2,0.698415693580429,0.7215113356590473
TF,large_vehicles,3,0.7002786247473748,0.7242537082816528
TF,large_vehicles,4,0.6955430783280955,0.7193641939551451
TF,large_vehicles,5,0.6943402239513844,0.7168169663207837
TF,market,1,0.5517235626368914,0.813124845560615
TF,market,2,0.540539079865668,0.8115188160590406
TF,market,3,0.5481340159282184,0.8160363726283661
TF,market,4,0.5431557889816353,0.8140589079110724
TF,market,5,0.5508952410462384,0.8132289922014292
TF,two_wheelers,1,0.7359916659923014,0.7924260101684524
TF,two_wheelers,2,0.7193723275074284,0.7779311399167416
TF,two_wheelers,3,0.7357064017197501,0.7896785301901297
TF,two_wheelers,4,0.7366586779514639,0.7912434803358025
TF,two_wheelers,5,0.7184694628369395,0.777120125004068
TF,refuse,1,0.5751836365682034,0.8400809510247712
TF,refuse,2,0.5732199058976148,0.834717457347545
TF,refuse,3,0.5710258806459902,0.840981942906633
TF,refuse,4,0.5766286946517917,0.8424672027055334
TF,refuse,5,0.5798573034029446,0.8443135205589359
TF,animal,1,0.172294352709129,0.2540884990237202
TF,animal,2,0.16547063572922902,0.2417153776989524
TF,animal,3,0.17871043707523768,0.25696105142130743
TF,animal,4,0.1659227948131016,0.2429393736230547
TF,animal,5,0.17322415614075906,0.25525052253583597
TMW,people,1,0.923342655982541,0.9760884017656706
TMW,people,2,0.9214239587103361,0.9759968499891849
TMW,people,3,0.9239341613639986,0.9764818018343734
TMW,people,4,0.9209747128276041,0.9762542059505911
TMW,people,5,0.9247244401213475,0.9766874783454389
TMW,small_vehicles,1,0.9282331968268646,0.9802026917336581
TMW,small_vehicles,2,0.9213937589599571,0.9801808762029128
TMW,small_vehicles,3,0.9276098574109191,0.9797344375002791
TMW,small_vehicles,4,0.9248163967379938,0.9798205526772964
TMW,small_vehicles,5,0.9260531854608658,0.9802283814886988
TMW,large_vehicles,1,0.8813355715394892,0.9239629778826133
TMW,large_vehicles,2,0.88073505335197,0.9247124995911127
TMW,large_vehicles,3,0.8818496799267047,0.924701150944208
TMW,large_vehicles,4,0.8798052131956646,0.9238642199883137
TMW,large_vehicles,5,0.8807328620052677,0.9251393531162999
TMW,market,1,0.4184304612168326,0.48038792752968
TMW,market,2,0.3916439456858338,0.45284438972902963
TMW,market,3,0.4018976702957192,0.4627359079962759
TMW,market,4,0.3868912169837964,0.4500143318867897
TMW,market,5,0.3997788719125409,0.4605493656609677
TMW,two_wheelers,1,0.8790346413710682,0.8997039733927328
TMW,two_wheelers,2,0.8767131348060665,0.8975809661216129
TMW,two_wheelers,3,0.8807235259748798,0.8999639438496992
TMW,two_wheelers,4,0.881188084215985,0.9013862603595353
TMW,two_wheelers,5,0.8859371430746199,0.9051376360417821
TMW,refuse,1,0.5668074096461067,0.9415762542414327
TMW,refuse,2,0.5544379762850077,0.9414986114768152
TMW,refuse,3,0.5510552379035136,0.9426087895739095
TMW,refuse,4,0.5561420098721185,0.9417402082796835
TMW,refuse,5,0.5700747107398153,0.9427862980764515
TMW,animal,1,0.39511080626689943,0.4788492366133945
TMW,animal,2,0.43236557076844423,0.5099650639355229
TMW,animal,3,0.48229853339959583,0.5491177658181524
TMW,animal,4,0.4285950914411022,0.5054688526004191
TMW,animal,5,0.4215418150990537,0.49877136678075623
UGH,people,1,0.7923418124385739,0.9212475963081619
UGH,people,2,0.7950158695709516,0.9227542582663206
UGH,people,3,0.7942282954341421,0.9227431706168597
UGH,people,4,0.7953362276327208,0.920459077571023
UGH,people,5,0.7966226447578505,0.9237530210056412
UGH,small_vehicles,1,0.908201201058171,0.98860990017203
UGH,small_vehicles,2,0.9120495817410177,0.9882061347727875
UGH,small_vehicles,3,0.9124473516282028,0.9883636109657841
UGH,small_vehicles,4,0.9124313665288888,0.9884347304644028
UGH,small_vehicles,5,0.9108177486773853,0.988394017718119
UGH,large_vehicles,1,0.7137492059841841,0.8014547720055787
UGH,large_vehicles,2,0.7163626006654961,0.802546296880654
UGH,large_vehicles,3,0.7163424756495088,0.8038595199959426
UGH,large_vehicles,4,0.7006832690423849,0.7912155903970292
UGH,large_vehicles,5,0.7121766820082108,0.7979499296711682
UGH,market,1,0.5801426864736325,0.6687845099330119
UGH,market,2,0.5797879482851028,0.6690495515569098
UGH,market,3,0.634566799657168,0.7212641016110218
UGH,market,4,0.5857965953320577,0.6818555802917798
UGH,market,5,0.5929596616115712,0.6817513050192705
UGH,two_wheelers,1,0.760264348867288,0.9434755972606226
UGH,two_wheelers,2,0.783523266567605,0.9465552484337171
UGH,two_wheelers,3,0.7589952802619817,0.9481987844442399
UGH,two_wheelers,4,0.7656551669766278,0.9395507536737221
UGH,two_wheelers,5,0.7628928702285956,0.9443821065000276
UGH,refuse,1,0.6327763299261067,0.9321632694163264
UGH,refuse,2,0.6335656049870207,0.9322214747564717
UGH,refuse,3,0.6390894699556046,0.9319546429100604
UGH,refuse,4,0.6369589325633075,0.9334074834476063
UGH,refuse,5,0.6324946153998651,0.9315786702069841
UGH,animal,1,0.31928648706151397,0.39047270743439805
UGH,animal,2,0.3277834299231418,0.39548417646535816
UGH,animal,3,0.32605680893873307,0.39200825043567455
UGH,animal,4,0.31647280950175294,0.3828044349571929
UGH,animal,5,0.31589326080607594,0.38509224726204383
